model,true_class,predicted_class,matrix_cell,mean,std,n_seeds,mean_percent,std_percent,normalization,aggregation,positive_class,decision_threshold
CTE-Net,Control,Control,TN,0.7697047394505894,0.03230479042786139,10,76.97047394505894,3.2304790427861394,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
CTE-Net,Control,ADHD,FP,0.23029526054941069,0.032304790427861406,10,23.02952605494107,3.2304790427861407,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
CTE-Net,ADHD,Control,FN,0.15813120652652118,0.023162262611837927,10,15.813120652652119,2.3162262611837927,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
CTE-Net,ADHD,ADHD,TP,0.8418687934734788,0.02316226261183792,10,84.18687934734788,2.316226261183792,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
EEGNet,Control,Control,TN,0.7928370845129037,0.039887030834370625,10,79.28370845129037,3.9887030834370627,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
EEGNet,Control,ADHD,FP,0.20716291548709626,0.039887030834370604,10,20.716291548709627,3.9887030834370605,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
EEGNet,ADHD,Control,FN,0.16507954364078709,0.03573241176311636,10,16.50795436407871,3.573241176311636,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
EEGNet,ADHD,ADHD,TP,0.834920456359213,0.03573241176311636,10,83.4920456359213,3.573241176311636,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
ShallowConvNet,Control,Control,TN,0.8691285730259593,0.03444740779811408,10,86.91285730259592,3.4447407798114082,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
ShallowConvNet,Control,ADHD,FP,0.1308714269740409,0.03444740779811408,10,13.087142697404088,3.4447407798114082,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
ShallowConvNet,ADHD,Control,FN,0.19449460104774058,0.024094207664348905,10,19.449460104774058,2.4094207664348906,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
ShallowConvNet,ADHD,ADHD,TP,0.8055053989522595,0.024094207664348912,10,80.55053989522595,2.409420766434891,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
T-GARNet,Control,Control,TN,0.6781990667872518,0.01890936663682313,10,67.81990667872519,1.8909366636823128,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
T-GARNet,Control,ADHD,FP,0.32180093321274816,0.018909366636823112,10,32.18009332127482,1.8909366636823113,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
T-GARNet,ADHD,Control,FN,0.14373539936298113,0.010688604198229316,10,14.373539936298114,1.0688604198229317,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
T-GARNet,ADHD,ADHD,TP,0.8562646006370189,0.010688604198229323,10,85.6264600637019,1.0688604198229323,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
IMC-BGT,Control,Control,TN,0.5579883471844741,0.045155063361835904,10,55.79883471844741,4.5155063361835905,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
IMC-BGT,Control,ADHD,FP,0.4420116528155259,0.04515506336183588,10,44.20116528155259,4.515506336183588,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
IMC-BGT,ADHD,Control,FN,0.25273851665630465,0.026841912604053237,10,25.273851665630463,2.6841912604053237,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
IMC-BGT,ADHD,ADHD,TP,0.7472614833436954,0.02684191260405325,10,74.72614833436954,2.684191260405325,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
MultiStream,Control,Control,TN,0.24350560568772214,0.014279506049585028,10,24.350560568772213,1.427950604958503,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
MultiStream,Control,ADHD,FP,0.7564943943122778,0.014279506049585035,10,75.64943943122778,1.4279506049585036,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
MultiStream,ADHD,Control,FN,0.13858647936786653,0.009386749370711387,10,13.858647936786653,0.9386749370711387,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
MultiStream,ADHD,ADHD,TP,0.8614135206321334,0.009386749370711366,10,86.14135206321333,0.9386749370711366,row-normalized by true class,"five-fold mean within seed, followed by mean and sample SD across seeds",ADHD,0.5
