condition,seed,n_subjects_retained,n_subjects_expected,complete_participant_cohort
all_windows,0,120,120,True
all_windows,1,120,120,True
all_windows,2,120,120,True
all_windows,3,120,120,True
all_windows,4,120,120,True
all_windows,5,120,120,True
all_windows,6,120,120,True
all_windows,7,120,120,True
all_windows,8,120,120,True
all_windows,9,120,120,True
exclude_qc_z4,0,119,120,False
exclude_qc_z4,1,119,120,False
exclude_qc_z4,2,119,120,False
exclude_qc_z4,3,119,120,False
exclude_qc_z4,4,119,120,False
exclude_qc_z4,5,119,120,False
exclude_qc_z4,6,119,120,False
exclude_qc_z4,7,119,120,False
exclude_qc_z4,8,119,120,False
exclude_qc_z4,9,119,120,False
exclude_qc_z5,0,120,120,True
exclude_qc_z5,1,120,120,True
exclude_qc_z5,2,120,120,True
exclude_qc_z5,3,120,120,True
exclude_qc_z5,4,120,120,True
exclude_qc_z5,5,120,120,True
exclude_qc_z5,6,120,120,True
exclude_qc_z5,7,120,120,True
exclude_qc_z5,8,120,120,True
exclude_qc_z5,9,120,120,True
exclude_qc_z6,0,120,120,True
exclude_qc_z6,1,120,120,True
exclude_qc_z6,2,120,120,True
exclude_qc_z6,3,120,120,True
exclude_qc_z6,4,120,120,True
exclude_qc_z6,5,120,120,True
exclude_qc_z6,6,120,120,True
exclude_qc_z6,7,120,120,True
exclude_qc_z6,8,120,120,True
exclude_qc_z6,9,120,120,True
