condition,seed,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1_score,roc_auc,tn,fp,fn,tp,n_observations
all_windows,0,0.8333333333333334,0.8333333333333333,0.85,0.8166666666666667,0.8225806451612904,0.8360655737704918,0.9063888888888889,49,11,9,51,120
all_windows,1,0.8083333333333333,0.8083333333333333,0.8666666666666667,0.75,0.7761194029850746,0.8188976377952756,0.8980555555555555,45,15,8,52,120
all_windows,2,0.825,0.825,0.8333333333333334,0.8166666666666667,0.819672131147541,0.8264462809917356,0.8727777777777777,49,11,10,50,120
all_windows,3,0.8583333333333333,0.8583333333333334,0.8666666666666667,0.85,0.8524590163934426,0.859504132231405,0.92,51,9,8,52,120
all_windows,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9083333333333333,50,10,10,50,120
all_windows,5,0.85,0.85,0.85,0.85,0.85,0.85,0.8980555555555555,51,9,9,51,120
all_windows,6,0.8583333333333333,0.8583333333333334,0.9333333333333333,0.7833333333333333,0.8115942028985508,0.8682170542635659,0.9283333333333332,47,13,4,56,120
all_windows,7,0.85,0.85,0.8833333333333333,0.8166666666666667,0.828125,0.8548387096774194,0.9075000000000001,49,11,7,53,120
all_windows,8,0.8083333333333333,0.8083333333333333,0.85,0.7666666666666667,0.7846153846153846,0.816,0.885,46,14,9,51,120
all_windows,9,0.8166666666666667,0.8166666666666667,0.8333333333333334,0.8,0.8064516129032258,0.819672131147541,0.8999999999999999,48,12,10,50,120
exclude_qc_z5,0,0.8416666666666667,0.8416666666666667,0.85,0.8333333333333334,0.8360655737704918,0.8429752066115702,0.9058333333333334,50,10,9,51,120
exclude_qc_z5,1,0.8083333333333333,0.8083333333333333,0.8666666666666667,0.75,0.7761194029850746,0.8188976377952756,0.9,45,15,8,52,120
exclude_qc_z5,2,0.825,0.825,0.8333333333333334,0.8166666666666667,0.819672131147541,0.8264462809917356,0.8738888888888888,49,11,10,50,120
exclude_qc_z5,3,0.8583333333333333,0.8583333333333334,0.8666666666666667,0.85,0.8524590163934426,0.859504132231405,0.9186111111111112,51,9,8,52,120
exclude_qc_z5,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9080555555555556,50,10,10,50,120
exclude_qc_z5,5,0.85,0.85,0.85,0.85,0.85,0.85,0.8955555555555555,51,9,9,51,120
exclude_qc_z5,6,0.8583333333333333,0.8583333333333334,0.9333333333333333,0.7833333333333333,0.8115942028985508,0.8682170542635659,0.9238888888888889,47,13,4,56,120
exclude_qc_z5,7,0.85,0.85,0.8833333333333333,0.8166666666666667,0.828125,0.8548387096774194,0.9063888888888889,49,11,7,53,120
exclude_qc_z5,8,0.8083333333333333,0.8083333333333333,0.85,0.7666666666666667,0.7846153846153846,0.816,0.885,46,14,9,51,120
exclude_qc_z5,9,0.8166666666666667,0.8166666666666667,0.8333333333333334,0.8,0.8064516129032258,0.819672131147541,0.8980555555555555,48,12,10,50,120
exclude_qc_z6,0,0.8416666666666667,0.8416666666666667,0.85,0.8333333333333334,0.8360655737704918,0.8429752066115702,0.9061111111111111,50,10,9,51,120
exclude_qc_z6,1,0.825,0.825,0.8833333333333333,0.7666666666666667,0.7910447761194029,0.8346456692913385,0.8986111111111111,46,14,7,53,120
exclude_qc_z6,2,0.825,0.825,0.8333333333333334,0.8166666666666667,0.819672131147541,0.8264462809917356,0.8719444444444445,49,11,10,50,120
exclude_qc_z6,3,0.8583333333333333,0.8583333333333334,0.8666666666666667,0.85,0.8524590163934426,0.859504132231405,0.9197222222222221,51,9,8,52,120
exclude_qc_z6,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9091666666666667,50,10,10,50,120
exclude_qc_z6,5,0.85,0.85,0.85,0.85,0.85,0.85,0.8983333333333334,51,9,9,51,120
exclude_qc_z6,6,0.8583333333333333,0.8583333333333334,0.9333333333333333,0.7833333333333333,0.8115942028985508,0.8682170542635659,0.9280555555555554,47,13,4,56,120
exclude_qc_z6,7,0.85,0.85,0.8833333333333333,0.8166666666666667,0.828125,0.8548387096774194,0.9080555555555556,49,11,7,53,120
exclude_qc_z6,8,0.8083333333333333,0.8083333333333333,0.85,0.7666666666666667,0.7846153846153846,0.816,0.8852777777777777,46,14,9,51,120
exclude_qc_z6,9,0.8166666666666667,0.8166666666666667,0.8333333333333334,0.8,0.8064516129032258,0.819672131147541,0.9002777777777777,48,12,10,50,120
