trial_id,trial_number,state,datetime_start,datetime_complete,objective_value,dx,dy,mu,tau,is_reference,objective_percent,delta_vs_reference_pp,configuration,rank,configuration_type
1,0,COMPLETE,2026-08-31 22:11:13.077958,2026-08-31 22:40:15.205989,0.8163068847980923,6,1,2,2,True,81.63068847980924,0.0,"Dx=6, Dy=1, tau=2, mu=2",11,Selected configuration
3,2,COMPLETE,2026-08-31 22:40:15.708360,2026-09-01 00:26:36.261211,0.8211056256270007,2,2,9,1,False,82.11056256270007,0.479874082890841,"Dx=2, Dy=2, tau=1, mu=9",10,Alternative configuration
4,3,COMPLETE,2026-09-01 00:26:36.486592,2026-09-01 02:10:53.693726,0.8766721244299094,7,8,10,1,False,87.66721244299094,6.036523963181706,"Dx=7, Dy=8, tau=1, mu=10",3,Alternative configuration
5,4,COMPLETE,2026-09-01 02:10:53.907450,2026-09-01 03:55:22.553625,0.8510430906321511,9,3,2,1,False,85.10430906321511,3.4736205834058786,"Dx=9, Dy=3, tau=1, mu=2",9,Alternative configuration
7,6,COMPLETE,2026-09-01 03:55:23.062673,2026-09-01 04:26:59.129110,0.8536953149110648,7,2,4,2,False,85.36953149110647,3.7388430112972437,"Dx=7, Dy=2, tau=2, mu=4",8,Alternative configuration
8,7,COMPLETE,2026-09-01 04:26:59.335607,2026-09-01 06:14:14.266675,0.8839381084287803,5,8,5,1,False,88.39381084287803,6.763122363068796,"Dx=5, Dy=8, tau=1, mu=5",2,Alternative configuration
9,8,COMPLETE,2026-09-01 06:14:14.484285,2026-09-01 06:35:19.786217,0.897776825220095,6,1,1,4,False,89.7776825220095,8.146994042200273,"Dx=6, Dy=1, tau=4, mu=1",1,Alternative configuration
11,10,COMPLETE,2026-09-01 06:35:20.256276,2026-09-01 06:54:27.607653,0.8594815459763792,4,1,4,4,False,85.94815459763791,4.317466117828683,"Dx=4, Dy=1, tau=4, mu=4",7,Alternative configuration
12,11,COMPLETE,2026-09-01 06:54:27.815885,2026-09-01 08:45:21.067049,0.8619533925049414,2,5,10,1,False,86.19533925049414,4.564650770684908,"Dx=2, Dy=5, tau=1, mu=10",6,Alternative configuration
14,13,COMPLETE,2026-09-01 08:45:21.532222,2026-09-01 09:02:19.209052,0.8670073272846534,6,2,8,5,False,86.70073272846534,5.070044248656103,"Dx=6, Dy=2, tau=5, mu=8",5,Alternative configuration
15,14,COMPLETE,2026-09-01 09:02:19.425182,2026-09-01 09:22:21.159140,0.8706997643531664,10,9,10,3,False,87.06997643531665,5.43928795550741,"Dx=10, Dy=9, tau=3, mu=10",4,Alternative configuration
