condition,seed,fold,best_epoch,best_val_accuracy,epochs_executed
filtered_clean_A1A2,0,0,1,0.7705998681608438,11
filtered_clean_A1A2,0,1,2,0.7604395604395604,12
filtered_clean_A1A2,0,2,1,0.7982998454404946,11
filtered_clean_A1A2,0,3,8,0.8668754894283477,18
filtered_clean_A1A2,0,4,8,0.7681818181818182,18
filtered_clean_A1A2,1,0,3,0.7719182597231378,13
filtered_clean_A1A2,1,1,17,0.7831501831501831,27
filtered_clean_A1A2,1,2,10,0.883307573415765,20
filtered_clean_A1A2,1,3,6,0.8825371965544244,16
filtered_clean_A1A2,1,4,3,0.7363636363636363,13
filtered_clean_A1A2,2,0,12,0.7686222808174028,22
filtered_clean_A1A2,2,1,11,0.7926739926739926,21
filtered_clean_A1A2,2,2,33,0.8902627511591963,43
filtered_clean_A1A2,2,3,8,0.8684416601409554,18
filtered_clean_A1A2,2,4,15,0.6977272727272728,25
filtered_clean_A1A2,3,0,3,0.7705998681608438,13
filtered_clean_A1A2,3,1,13,0.7736263736263737,23
filtered_clean_A1A2,3,2,4,0.884080370942813,14
filtered_clean_A1A2,3,3,7,0.8621769772905247,17
filtered_clean_A1A2,3,4,9,0.7689393939393939,19
filtered_clean_A1A2,4,0,29,0.7943309162821358,39
filtered_clean_A1A2,4,1,1,0.6937728937728938,11
filtered_clean_A1A2,4,2,1,0.847758887171561,11
filtered_clean_A1A2,4,3,7,0.8582615505090054,17
filtered_clean_A1A2,4,4,1,0.7560606060606061,11
filtered_clean_A1A2,5,0,4,0.7475280158206987,14
filtered_clean_A1A2,5,1,16,0.7714285714285715,26
filtered_clean_A1A2,5,2,15,0.8523956723338485,25
filtered_clean_A1A2,5,3,13,0.8379013312451057,23
filtered_clean_A1A2,5,4,18,0.7689393939393939,28
filtered_clean_A1A2,6,0,3,0.7864205669083718,13
filtered_clean_A1A2,6,1,14,0.7765567765567766,24
filtered_clean_A1A2,6,2,36,0.8724884080370943,46
filtered_clean_A1A2,6,3,28,0.9005481597494127,38
filtered_clean_A1A2,6,4,3,0.7537878787878788,13
filtered_clean_A1A2,7,0,2,0.8088332234673699,12
filtered_clean_A1A2,7,1,4,0.7406593406593407,14
filtered_clean_A1A2,7,2,9,0.839258114374034,19
filtered_clean_A1A2,7,3,1,0.8519968676585747,11
filtered_clean_A1A2,7,4,10,0.7575757575757576,20
filtered_clean_A1A2,8,0,15,0.7705998681608438,25
filtered_clean_A1A2,8,1,5,0.7589743589743589,15
filtered_clean_A1A2,8,2,8,0.8809891808346213,18
filtered_clean_A1A2,8,3,2,0.8198903680501175,12
filtered_clean_A1A2,8,4,1,0.7212121212121212,11
filtered_clean_A1A2,9,0,29,0.7903757415952538,39
filtered_clean_A1A2,9,1,16,0.7802197802197802,26
filtered_clean_A1A2,9,2,15,0.8523956723338485,25
filtered_clean_A1A2,9,3,7,0.8519968676585747,17
filtered_clean_A1A2,9,4,2,0.7113636363636363,12
