condition,seed,fold,n_test_windows,n_test_subjects,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
original_A1A2_same_windows,0,0,1662,24,0.8549939831528279,0.9379760609357998,0.7523553162853297,0.8240917782026769,0.87735368956743,0.913263729520501
common_average_reference,0,0,1662,24,0.8405535499398316,0.9673558215451578,0.6837146702557201,0.7909252669039146,0.8702887909936369,0.9080046337452057
original_A1A2_same_windows,0,1,1562,24,0.7887323943661971,0.6741573033707865,0.9404761904761905,0.9375,0.7843137254901961,0.8452564874264312
common_average_reference,0,1,1562,24,0.8322663252240717,0.7573033707865169,0.9315476190476191,0.9361111111111111,0.8372670807453417,0.90834085741038
original_A1A2_same_windows,0,2,1659,24,0.8378541289933695,0.9180695847362514,0.7447916666666666,0.8067061143984221,0.8587926509186352,0.9298190235690236
common_average_reference,0,2,1659,24,0.9071729957805907,0.9966329966329966,0.8033854166666666,0.8546679499518768,0.9202072538860104,0.9710845433501684
original_A1A2_same_windows,0,3,1608,24,0.7742537313432836,0.7698412698412699,0.7796143250688705,0.8092967818831943,0.789076118535735,0.8513825640449018
common_average_reference,0,3,1608,24,0.7630597014925373,0.7981859410430839,0.7203856749311295,0.7761852260198456,0.78703186137507,0.8359366703522547
original_A1A2_same_windows,0,4,1722,24,0.8373983739837398,0.8459958932238193,0.8262032085561497,0.8637316561844863,0.8547717842323652,0.8980388496634419
common_average_reference,0,4,1722,24,0.8292682926829268,0.9209445585215605,0.7098930481283422,0.8052064631956912,0.8591954022988506,0.9161480580658623
original_A1A2_same_windows,1,0,1662,24,0.8134777376654633,0.8781284004352558,0.7335127860026918,0.8029850746268656,0.8388773388773388,0.8613200901559275
common_average_reference,1,0,1662,24,0.7352587244283996,0.9499455930359086,0.4697173620457604,0.6890292028413575,0.7987191216834401,0.8363111931893904
original_A1A2_same_windows,1,1,1562,24,0.79449423815621,0.7168539325842697,0.8973214285714286,0.9024045261669024,0.7989981214777708,0.878051431246656
common_average_reference,1,1,1562,24,0.8437900128040973,0.8089887640449438,0.8898809523809523,0.906801007556675,0.8551068883610451,0.9124398073836276
original_A1A2_same_windows,1,2,1659,24,0.9023508137432188,0.9966329966329966,0.79296875,0.8481375358166189,0.9164086687306501,0.9906143319771792
common_average_reference,1,2,1659,24,0.8288125376732972,0.877665544332211,0.7721354166666666,0.8171368861024033,0.8463203463203464,0.8968723695286196
original_A1A2_same_windows,1,3,1608,24,0.7133084577114428,0.8299319727891157,0.571625344352617,0.7018216682646213,0.7605194805194806,0.7492988012468533
common_average_reference,1,3,1608,24,0.7332089552238806,0.7380952380952381,0.7272727272727273,0.7667844522968198,0.7521663778162911,0.7683350199583966
original_A1A2_same_windows,1,4,1722,24,0.7909407665505227,0.8603696098562629,0.7005347593582888,0.7890772128060264,0.8231827111984283,0.8915698536274694
common_average_reference,1,4,1722,24,0.8164924506387921,0.9147843942505134,0.6885026737967914,0.7927046263345195,0.8493803622497617,0.9291368358058175
original_A1A2_same_windows,2,0,1662,24,0.8206979542719615,0.9379760609357998,0.6756393001345895,0.7815049864007253,0.8526211671612266,0.8710254724179392
common_average_reference,2,0,1662,24,0.8182912154031288,0.9270946681175191,0.6837146702557201,0.7838086476540939,0.8494516450648055,0.8755025138507097
original_A1A2_same_windows,2,1,1562,24,0.7816901408450704,0.6550561797752809,0.9494047619047619,0.9448946515397083,0.7737226277372263,0.8941044676297486
common_average_reference,2,1,1562,24,0.8335467349551856,0.8134831460674158,0.8601190476190477,0.8850855745721271,0.847775175644028,0.9198225989834137
original_A1A2_same_windows,2,2,1659,24,0.8474984930681133,0.9079685746352413,0.77734375,0.8255102040816327,0.8647781934794229,0.9368197308735503
common_average_reference,2,2,1659,24,0.9035563592525618,0.8911335578002245,0.91796875,0.926487747957993,0.9084668192219679,0.960777479657688
original_A1A2_same_windows,2,3,1608,24,0.7810945273631841,0.7777777777777778,0.7851239669421488,0.8147268408551069,0.7958236658932714,0.7763886546354078
common_average_reference,2,3,1608,24,0.7655472636815921,0.7777777777777778,0.7506887052341598,0.7912341407151096,0.7844482561463694,0.8653042484211315
original_A1A2_same_windows,2,4,1722,24,0.7903600464576074,0.8480492813141683,0.7152406417112299,0.794995187680462,0.8206656731246894,0.8436206338051367
common_average_reference,2,4,1722,24,0.7990708478513356,0.8870636550308009,0.6844919786096256,0.7854545454545454,0.833172613307618,0.884627315551944
