condition,metric,estimate,ci_95_lower,ci_95_upper,n_subjects,n_seeds,n_bootstrap
common_average_reference,accuracy,0.8308333333333332,0.7766666666666666,0.8808333333333334,120,10,5000
common_average_reference,sensitivity,0.8649999999999999,0.7866666666666666,0.9316666666666669,120,10,5000
common_average_reference,specificity,0.7966666666666666,0.7183333333333334,0.8683333333333334,120,10,5000
common_average_reference,precision,0.8105476248502036,0.7540261354434721,0.8698657638653473,120,10,5000
common_average_reference,f1_score,0.8365435851941527,0.7817406283320294,0.8858434024159765,120,10,5000
common_average_reference,roc_auc,0.8989027777777778,0.8472770833333333,0.9437791666666667,120,10,5000
original_A1A2_same_windows,accuracy,0.8341666666666667,0.7825,0.8825,120,10,5000
original_A1A2_same_windows,sensitivity,0.86,0.79,0.9216666666666666,120,10,5000
original_A1A2_same_windows,specificity,0.8083333333333332,0.7300000000000001,0.8799999999999999,120,10,5000
original_A1A2_same_windows,precision,0.8184950729437842,0.7601726906844802,0.8789194586186818,120,10,5000
original_A1A2_same_windows,f1_score,0.8382974853210767,0.7869765321839622,0.8848020517078523,120,10,5000
original_A1A2_same_windows,roc_auc,0.9024444444444445,0.8513305555555556,0.9468888888888888,120,10,5000
