condition,seed,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
filtered_clean_A1A2,0,0.7,0.8833333333333333,0.5166666666666667,0.6463414634146342,0.7464788732394365,0.8083333333333332
filtered_clean_A1A2,1,0.7333333333333333,0.95,0.5166666666666667,0.6627906976744186,0.780821917808219,0.8111111111111111
filtered_clean_A1A2,2,0.7416666666666667,0.8833333333333333,0.6,0.6883116883116883,0.7737226277372263,0.7972222222222223
filtered_clean_A1A2,3,0.75,0.8666666666666667,0.6333333333333333,0.7027027027027027,0.7761194029850748,0.8430555555555556
filtered_clean_A1A2,4,0.75,0.9,0.6,0.6923076923076923,0.7826086956521738,0.8047222222222221
filtered_clean_A1A2,5,0.7333333333333333,0.9333333333333333,0.5333333333333333,0.6666666666666666,0.7777777777777778,0.8372222222222223
filtered_clean_A1A2,6,0.7583333333333333,0.9,0.6166666666666667,0.7012987012987013,0.7883211678832117,0.8230555555555555
filtered_clean_A1A2,7,0.7416666666666667,0.8666666666666667,0.6166666666666667,0.6933333333333334,0.7703703703703704,0.8105555555555555
filtered_clean_A1A2,8,0.7166666666666667,0.9,0.5333333333333333,0.6585365853658537,0.7605633802816902,0.8105555555555555
filtered_clean_A1A2,9,0.7666666666666667,0.9,0.6333333333333333,0.7105263157894737,0.7941176470588235,0.8461111111111111
original_A1A2_same_windows,0,0.8416666666666667,0.85,0.8333333333333334,0.8360655737704918,0.8429752066115703,0.9061111111111111
original_A1A2_same_windows,1,0.8083333333333333,0.8666666666666667,0.75,0.7761194029850746,0.8188976377952756,0.8975
original_A1A2_same_windows,2,0.825,0.8333333333333334,0.8166666666666667,0.819672131147541,0.8264462809917356,0.8741666666666666
original_A1A2_same_windows,3,0.8583333333333333,0.8666666666666667,0.85,0.8524590163934426,0.8595041322314049,0.9194444444444445
original_A1A2_same_windows,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9083333333333334
original_A1A2_same_windows,5,0.85,0.85,0.85,0.85,0.85,0.895
original_A1A2_same_windows,6,0.8583333333333333,0.9333333333333333,0.7833333333333333,0.8115942028985508,0.8682170542635659,0.9244444444444444
original_A1A2_same_windows,7,0.85,0.8833333333333333,0.8166666666666667,0.828125,0.8548387096774193,0.9063888888888889
original_A1A2_same_windows,8,0.8083333333333333,0.85,0.7666666666666667,0.7846153846153846,0.816,0.8847222222222222
original_A1A2_same_windows,9,0.8166666666666667,0.8333333333333334,0.8,0.8064516129032258,0.819672131147541,0.8983333333333333
