global_window_index,max_abs_amplitude,max_peak_to_peak,max_abs_kurtosis,frontal_low_frequency_ratio,frontal_high_frequency_ratio,line_noise_ratio,min_channel_std,nonfinite,flat_channel
0,3359.0,6071.0,3.3005902181300755,0.026015341490337705,0.027911341630649636,0.27490075499593436,331.4264587888188,False,False
1,3958.0,6881.0,1.4020587220953562,0.013562760814942567,0.009348118725422069,0.28152332835171323,473.42223160198125,False,False
2,3958.0,6954.0,3.301768387557754,0.06991565757308146,0.013664906472518341,0.46122365598440496,340.9412358401872,False,False
3,2996.0,4194.0,16.864650923281307,0.19464845314663431,0.08598145069973903,0.4297237354420224,161.22614398112125,False,False
4,604.0,956.0,0.7190036673860156,0.1680905600682545,0.16921685277281134,0.5057261916879305,78.56247064776544,False,False
5,788.0,1196.0,2.6503640567200115,0.3219647668546648,0.08440921763063217,0.337281257145229,110.69962253454513,False,False
6,2007.0,2795.0,20.09225503220183,0.3818081179046881,0.11879333937298935,0.4103868035487406,107.26656683100607,False,False
7,2007.0,2943.0,9.829941431558847,0.37271732994818535,0.13289581677291304,0.3512416166425012,109.34803027911217,False,False
8,1787.0,2723.0,5.563540567019199,0.43878079621415156,0.044927653404162,0.29158884743407293,123.38070932954578,False,False
9,1009.0,1508.0,4.031860782118534,0.361661297644071,0.09832581479179957,0.32566575401805553,97.27399562375021,False,False
10,1009.0,1324.0,3.5503444521919594,0.32930215624712955,0.12034880378586656,0.44543951920671015,94.64612588425086,False,False
11,754.0,1287.0,2.047612818943673,0.1004980778507629,0.13465196594208367,0.21701433984105736,95.18419881445121,False,False
12,752.0,1140.0,0.5436576248831306,0.14255031880361005,0.13564286761669958,0.24055376893715472,93.57541929656045,False,False
13,788.0,1213.0,1.0454494236726948,0.2186857532682034,0.04764784642703034,0.4175598813789384,122.20908380887762,False,False
14,1046.0,1397.0,3.622490460925082,0.2679056895777352,0.09445015506411192,0.3253564280593564,115.78684513302612,False,False
15,1046.0,1324.0,9.161520533511553,0.1772912695867205,0.2269566464836201,0.32822302696357253,84.15962674250343,False,False
16,972.0,1691.0,2.897095516605095,0.3585616057790543,0.05578087951251945,0.41767172845090345,103.35053106576632,False,False
17,972.0,1691.0,2.8222144394483806,0.38069956468171906,0.0761585930867825,0.4412527582050968,103.66886858630629,False,False
18,825.0,1250.0,1.05267890521535,0.16321765695931933,0.19868222590462026,0.30510834123344094,82.74077635469311,False,False
19,715.0,1250.0,0.7065618459351324,0.1803961141430114,0.2708785945759542,0.33653834392056736,84.65077319617323,False,False
20,936.0,1324.0,1.0947619243616877,0.11789242973160383,0.24750455677977445,0.41701303993206984,89.37232969336391,False,False
21,3627.0,5004.0,56.070253999029546,0.1668640801968836,0.16924166058145734,0.3868018107062659,304.5501796924172,False,False
22,3884.0,6329.0,8.071135017614298,0.3094556317447544,0.02169193022008217,0.2808434714316593,635.3642435883843,False,False
23,3884.0,6292.0,7.906136182282403,0.3408010274255502,0.07363837687415131,0.34227022211298375,539.3803948867475,False,False
24,930.0,1442.0,4.115652343086272,0.2666224487202022,0.17070682115973992,0.32426575104609806,122.86996881191044,False,False
25,678.0,1177.0,0.6397630109357308,0.34018398827686586,0.23415631637460566,0.3098103084858936,98.38252291579587,False,False
26,1193.0,1434.0,9.559833098024562,0.33059018902500187,0.18997733536709932,0.2960017197859718,94.11996464729862,False,False
27,1193.0,1434.0,7.852465756641642,0.4162762400086016,0.09147303202918688,0.27333868289723134,112.26490992223444,False,False
28,936.0,1471.0,3.0169800269168245,0.4220852645990825,0.04516360605594483,0.31475397438012886,113.04554328687685,False,False
29,936.0,1434.0,1.1905831119867791,0.19104449318205394,0.1913436674945575,0.4182656544058855,100.06823765484937,False,False
30,899.0,1324.0,0.5100475924645114,0.25908937218829686,0.04431538211976071,0.34229980008631417,122.96250381213778,False,False
31,899.0,1434.0,0.7024417864869474,0.31786603191698837,0.10582373813903836,0.4222257993385286,113.99153532425044,False,False
32,899.0,1471.0,2.144272809319503,0.2180822907223112,0.12295877792525085,0.3742402081503489,106.5387428090356,False,False
33,977.0,1434.0,10.511885273395126,0.21339274157270827,0.2044966335962099,0.38830537893263706,105.64616788674378,False,False
34,1156.0,2133.0,7.383035792840811,0.36384617104769784,0.10178293516259988,0.5105579566409351,93.59041071620182,False,False
35,1156.0,1545.0,6.697698644731547,0.3905816357340806,0.2880459345035922,0.40504727080380415,94.74190981907516,False,False
