fold,split,n_subjects,n_windows_before,n_windows_retained,n_windows_flagged,percent_flagged
0,train,76,4977,4977,0,0.0
0,validation,20,1574,1574,0,0.0
0,test,24,1662,1662,0,0.0
1,train,76,5223,5223,0,0.0
1,validation,20,1428,1428,0,0.0
1,test,24,1562,1562,0,0.0
2,train,76,5211,5211,0,0.0
2,validation,20,1343,1343,0,0.0
2,test,24,1659,1659,0,0.0
3,train,76,5305,5305,0,0.0
3,validation,20,1300,1300,0,0.0
3,test,24,1608,1608,0,0.0
4,train,76,5080,5080,0,0.0
4,validation,20,1411,1411,0,0.0
4,test,24,1722,1722,0,0.0
