fold,feature,reference_median,reference_robust_scale,z_threshold,direction,n_reference_windows,n_flagged_all_windows
0,max_abs_amplitude,1230.0,652.3439999999999,5.0,upper,2280,36
0,max_peak_to_peak,1986.0,1117.8804,5.0,upper,2280,45
0,max_abs_kurtosis,3.751131077952185,3.6019197125325033,5.0,upper,2280,197
0,frontal_low_frequency_ratio,0.2762804807022652,0.14389302182206715,5.0,upper,2280,0
0,frontal_high_frequency_ratio,0.08287412474431949,0.06248030885162727,5.0,upper,2280,8
0,line_noise_ratio,0.33461836496131825,0.05840876548999199,5.0,upper,2280,0
0,min_channel_std,106.39743467943532,36.63596423591223,5.0,lower,2280,0
1,max_abs_amplitude,1198.0,646.4136,5.0,upper,2280,40
1,max_peak_to_peak,1913.0,1091.1935999999998,5.0,upper,2280,49
1,max_abs_kurtosis,3.6336095163003925,3.4820049781863562,5.0,upper,2280,203
1,frontal_low_frequency_ratio,0.2590705312567413,0.1269771105038933,5.0,upper,2280,53
1,frontal_high_frequency_ratio,0.08883812319190142,0.06627664167069555,5.0,upper,2280,2
1,line_noise_ratio,0.3356421732981011,0.06138312388276975,5.0,upper,2280,0
1,min_channel_std,102.13910840069093,32.62046926044434,5.0,lower,2280,0
2,max_abs_amplitude,1212.0,627.1397999999999,5.0,upper,2280,48
2,max_peak_to_peak,1949.0,1036.3374,5.0,upper,2280,63
2,max_abs_kurtosis,3.6224586820997,3.457838063051692,5.0,upper,2280,205
2,frontal_low_frequency_ratio,0.2748333519009424,0.14461833562993553,5.0,upper,2280,0
2,frontal_high_frequency_ratio,0.08368147423874675,0.06606404860807576,5.0,upper,2280,3
2,line_noise_ratio,0.3378206809693548,0.06043540920010899,5.0,upper,2280,0
2,min_channel_std,103.02118715366939,34.90469457908779,5.0,lower,2280,0
3,max_abs_amplitude,1230.0,655.3091999999999,5.0,upper,2280,36
3,max_peak_to_peak,1935.0,1113.4325999999999,5.0,upper,2280,47
3,max_abs_kurtosis,4.0299412690050875,3.812741704767056,5.0,upper,2280,172
3,frontal_low_frequency_ratio,0.2705347946827318,0.13683297954992732,5.0,upper,2280,5
3,frontal_high_frequency_ratio,0.09100728208653855,0.06433632912270454,5.0,upper,2280,3
3,line_noise_ratio,0.3356880215254615,0.06036412114474156,5.0,upper,2280,0
3,min_channel_std,97.14648381931931,29.22910803866903,5.0,lower,2280,0
4,max_abs_amplitude,1124.0,551.5272,5.0,upper,2280,151
4,max_peak_to_peak,1802.0,981.4812,5.0,upper,2280,106
4,max_abs_kurtosis,3.4666724642666167,3.2969758082321934,5.0,upper,2280,223
4,frontal_low_frequency_ratio,0.2580817361492557,0.13714668180667203,5.0,upper,2280,10
4,frontal_high_frequency_ratio,0.09026696788758556,0.06901036944734737,5.0,upper,2280,1
4,line_noise_ratio,0.3373961133245811,0.06087650618690998,5.0,upper,2280,0
4,min_channel_std,98.90003491992051,31.414005640716294,5.0,lower,2280,0
